Path,File,Date Acquired,Sample,Misc
C:\Data\2020\20200807_2DGC_JLOpt\,22TS51.D, 9 Sep 2020  11:45    , , 
Signal: 22TS51.D\FID1A.ch,,,,
0.045,20017,,,
0.046,19991,,,
0.046,20044,,,
0.046,20108,,,
0.046,20105,,,
0.046,20142,,,
0.046,20133,,,
0.046,20136,,,
0.046,20052,,,
0.046,20067,,,
0.046,20065,,,
0.046,19991,,,
0.046,20034,,,
0.047,20086,,,
0.047,20067,,,
0.047,20000,,,
0.047,19943,,,
0.047,20004,,,
0.047,19970,,,
0.047,19986,,,
0.047,19988,,,
0.047,19941,,,
0.047,19971,,,
0.047,19960,,,
0.047,19930,,,
0.048,19897,,,
0.048,19913,,,
0.048,19981,,,
0.048,19979,,,
0.048,20027,,,
0.048,20012,,,
0.048,20006,,,
0.048,20021,,,
0.048,20088,,,
0.048,20031,,,
0.048,19938,,,
0.048,19901,,,
0.049,19946,,,
0.049,20006,,,
0.049,20068,,,
0.049,20066,,,
0.049,19958,,,
0.049,19907,,,
0.049,19947,,,
0.049,19974,,,
0.049,19995,,,
0.049,20028,,,
0.049,20010,,,
0.049,20045,,,
0.05,20151,,,
0.05,20208,,,
0.05,20144,,,
0.05,20160,,,
0.05,20244,,,
0.05,20196,,,
0.05,20108,,,
0.05,20064,,,
0.05,20076,,,
0.05,20034,,,
0.05,20061,,,
0.05,20044,,,
0.051,19949,,,
0.051,19950,,,
0.051,19971,,,
0.051,19966,,,
0.051,19933,,,
0.051,19947,,,
0.051,19926,,,
0.051,19898,,,
0.051,19936,,,
0.051,19961,,,
0.051,19953,,,
0.051,20032,,,
0.052,20129,,,
0.052,20137,,,
0.052,20126,,,
0.052,20123,,,
0.052,20069,,,
0.052,20006,,,
0.052,20028,,,
0.052,20022,,,
0.052,19922,,,
0.052,19912,,,
0.052,19974,,,
0.052,19984,,,
0.053,19982,,,
0.053,19945,,,
0.053,19950,,,
0.053,19901,,,
0.053,19997,,,
0.053,20036,,,
0.053,20027,,,
0.053,20096,,,
0.053,20074,,,
0.053,19988,,,
0.053,19888,,,
0.053,19934,,,
0.054,19981,,,
0.054,19956,,,
0.054,20038,,,
0.054,20034,,,
0.054,19995,,,
0.054,19949,,,
0.054,20028,,,
0.054,20026,,,
0.054,20044,,,
0.054,20101,,,
0.054,20071,,,
0.054,20068,,,
0.055,20030,,,
0.055,20101,,,
0.055,20010,,,
0.055,20054,,,
0.055,20043,,,
0.055,19945,,,
0.055,19911,,,
0.055,19929,,,
0.055,20032,,,
0.055,20000,,,
0.055,20025,,,
0.055,20003,,,
0.056,19938,,,
0.056,20026,,,
0.056,20089,,,
0.056,20111,,,
0.056,20085,,,
